timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
simulation,part_1,exp_10,10,lab_5,1,live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,NA,NA,NA,NA,NA,NA,NA,NA,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,NA,NA,NA,NA,NA,NA,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,1,right,left,neutral,FALSE,t,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,2,left,right,neutral,FALSE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,3,right,left,neutral,FALSE,t,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,4,left,left,erotic,TRUE,t,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,5,right,right,neutral,TRUE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,6,right,right,erotic,TRUE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,7,left,right,neutral,FALSE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,8,left,right,erotic,FALSE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,9,left,left,neutral,TRUE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,10,right,right,neutral,TRUE,t,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,11,left,right,erotic,FALSE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,12,left,right,erotic,FALSE,t,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,13,right,left,erotic,FALSE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,14,right,right,erotic,TRUE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,15,left,right,erotic,FALSE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,16,left,right,erotic,FALSE,t,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,17,left,right,erotic,FALSE,t,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,18,right,left,neutral,FALSE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,19,left,left,neutral,TRUE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,20,left,left,erotic,TRUE,sh,4,0
simulation,part_1,exp_10,10,lab_5,1,live,yes,no,18-29,Female,yes,Probably does not,Probably yes,Occasionally,between true and untrue,untrue,21,right,right,erotic,TRUE,t,4,0
